candidate_id,status,total_score,num_crossings_total,num_primitives_with_crossing,num_primitives_with_meaningful_jump,theta,a,Delta,omega_bar,k,lam,a_base_score,a_importance_weight,a_weighted_score,a_num_crossings,a_has_crossing,a_has_meaningful_jump,a_interior_crossing,a_clean_gap_slope,a_extra_crossings,a_max_jump,a_max_gap_slope,a_max_gap_change,a_best_crossing_x,a_best_crossing_index_left,Delta_base_score,Delta_importance_weight,Delta_weighted_score,Delta_num_crossings,Delta_has_crossing,Delta_has_meaningful_jump,Delta_interior_crossing,Delta_clean_gap_slope,Delta_extra_crossings,Delta_max_jump,Delta_max_gap_slope,Delta_max_gap_change,Delta_best_crossing_x,Delta_best_crossing_index_left,lam_base_score,lam_importance_weight,lam_weighted_score,lam_num_crossings,lam_has_crossing,lam_has_meaningful_jump,lam_interior_crossing,lam_clean_gap_slope,lam_extra_crossings,lam_max_jump,lam_max_gap_slope,lam_max_gap_change,lam_best_crossing_x,lam_best_crossing_index_left,theta_base_score,theta_importance_weight,theta_weighted_score,theta_num_crossings,theta_has_crossing,theta_has_meaningful_jump,theta_interior_crossing,theta_clean_gap_slope,theta_extra_crossings,theta_max_jump,theta_max_gap_slope,theta_max_gap_change,theta_best_crossing_x,theta_best_crossing_index_left,k_base_score,k_importance_weight,k_weighted_score,k_num_crossings,k_has_crossing,k_has_meaningful_jump,k_interior_crossing,k_clean_gap_slope,k_extra_crossings,k_max_jump,k_max_gap_slope,k_max_gap_change,k_best_crossing_x,k_best_crossing_index_left,omega_bar_base_score,omega_bar_importance_weight,omega_bar_weighted_score,omega_bar_num_crossings,omega_bar_has_crossing,omega_bar_has_meaningful_jump,omega_bar_interior_crossing,omega_bar_clean_gap_slope,omega_bar_extra_crossings,omega_bar_max_jump,omega_bar_max_gap_slope,omega_bar_max_gap_change,omega_bar_best_crossing_x,omega_bar_best_crossing_index_left,error
330,ok,287,7,6,6,2.005696861,0.506908602,0.139425111,0.859823068,0.357842416,0.711914614,22,3,66,1,1,1,1,1,0,0.398911622,0.004157278,0.000276565,0.507415254,6,17,3,51,2,1,1,1,1,1,1.361303473,0.324376668,0.010720924,0.925847458,26,22,3,66,1,1,1,1,1,0,0.303162836,0.002190919,3.71E-05,0.703389831,41,20,2,40,1,1,1,1,0,0,0.301222243,5.00E-05,1.23E-06,1.799576271,30,22,2,44,1,1,1,1,1,0,0.319429796,0.002976243,4.04E-05,0.350847458,18,20,1,20,1,1,1,1,0,0,0.302001039,1.46E-06,4.94E-08,1.906779661,41,
1115,ok,287,6,6,6,1.231605949,1.052370546,0.291093434,2.422821106,0.367955647,0.972217517,22,3,66,1,1,1,1,1,0,0.372373023,0.000660763,4.40E-05,1.039618644,14,22,3,66,1,1,1,1,1,0,0.362940022,0.001170618,3.87E-05,0.297881356,7,17,3,51,1,1,1,0,1,0,0.348243743,0.001011933,1.72E-05,0.974576271,57,20,2,40,1,1,1,1,0,0,0.348278313,4.32E-05,1.06E-06,1.430932203,15,22,2,44,1,1,1,1,1,0,0.358081831,0.001245514,1.69E-05,0.377966102,20,20,1,20,1,1,1,1,0,0,0.347523414,2.67E-05,9.07E-07,1.5,29,
955,ok,274,7,6,6,1.980862206,0.108953849,0.720465723,1.90486213,0.121982186,0.306179467,17,3,51,1,1,1,0,1,0,1.577475995,0.22792801,0.015163007,0.108262712,0,22,3,66,1,1,1,1,1,0,0.64922685,0.005407071,0.000178708,0.727542373,20,22,3,66,1,1,1,1,1,0,0.640157028,0.03326168,0.000563757,0.313559322,18,20,2,40,1,1,1,1,0,0,0.620932274,9.78E-05,2.40E-06,1.775,29,17,2,34,1,1,1,0,1,0,0.662805761,0.023148059,0.000313872,0.120338983,1,17,1,17,2,1,1,1,1,1,0.622280136,0.126540171,0.004289497,1.974576271,43,
459,ok,272,7,6,6,1.240581,1.107836954,0.216256519,1.38708312,0.491383952,0.959081003,22,3,66,1,1,1,1,1,0,0.370324336,0.000660338,4.39E-05,1.106144068,15,17,3,51,2,1,1,1,1,1,1.39545391,0.515521978,0.017038438,1.388559322,40,17,3,51,1,1,1,0,1,0,0.344747676,0.001000036,1.69E-05,0.974576271,57,20,2,40,1,1,1,1,0,0,0.34369628,5.92E-05,1.45E-06,1.406355932,14,22,2,44,1,1,1,1,1,0,0.352312145,0.000954657,1.29E-05,0.5,29,20,1,20,1,1,1,1,0,0,0.34280419,5.29E-05,1.79E-06,0.855932203,10,
1790,ok,272,5,5,5,1.437871423,0.62697498,0.054163241,0.990334757,0.449519214,0.853081496,22,3,66,1,1,1,1,1,0,0.182789263,0.000328132,2.18E-05,0.640466102,8,22,3,66,1,1,1,1,1,0,1.359089204,0.327363002,0.010819625,0.925847458,26,20,3,60,1,1,1,1,0,0,0.117744829,0.000195883,3.32E-06,0.838983051,49,20,2,40,1,1,1,1,0,0,0.116894886,1.04E-05,2.55E-07,1.209745763,6,20,2,40,1,1,1,1,0,0,0.131368691,0.000270525,3.67E-06,0.445762712,25,0,1,0,0,0,0,0,0,0,0,0,0,,,
1893,ok,272,5,5,5,1.902834152,0.632163634,0.052377685,1.458048871,0.479574705,0.800236029,22,3,66,1,1,1,1,1,0,0.156784769,0.000262711,1.75E-05,0.640466102,8,22,3,66,1,1,1,1,1,0,1.374123064,0.589337516,0.019478104,1.28940678,37,20,3,60,1,1,1,1,0,0,0.089715948,0.000153856,2.61E-06,0.788135593,46,20,2,40,1,1,1,1,0,0,0.089317091,6.03E-06,1.48E-07,1.602966102,22,20,2,40,1,1,1,1,0,0,0.102889477,0.000196101,2.66E-06,0.472881356,27,0,1,0,0,0,0,0,0,0,0,0,0,,,
1718,ok,268,9,6,6,1.405684993,0.162318596,1.497045493,2.028756419,0.619191128,0.116546275,17,3,51,1,1,1,0,1,0,2.28577049,0.089419779,0.005948689,0.174788136,1,22,3,66,1,1,1,1,1,0,1.001057044,0.002502888,8.27E-05,1.553813559,45,17,3,51,2,1,1,1,1,1,1.275100956,0.310648542,0.00526523,0.296610169,17,22,2,44,1,1,1,1,1,0,0.954096089,0.000489867,1.20E-05,1.578389831,21,22,2,44,1,1,1,1,1,0,0.969361744,0.005618925,7.62E-05,0.63559322,39,12,1,12,3,1,1,1,1,2,0.949207501,14.56351121,0.493678346,1.737288136,36,
1932,ok,267,6,5,5,2.014305173,0.897027287,0.153228942,1.376891817,0.533651221,0.848769425,22,3,66,1,1,1,1,1,0,0.29240485,0.000944693,6.28E-05,0.906567797,12,17,3,51,2,1,1,1,1,1,1.381935622,0.578732993,0.019127616,1.322457627,38,22,3,66,1,1,1,1,1,0,0.251150355,0.001000239,1.70E-05,0.838983051,49,20,2,40,1,1,1,1,0,0,0.249913293,3.69E-05,9.06E-07,1.775,29,22,2,44,1,1,1,1,1,0,0.263096308,0.000996994,1.35E-05,0.527118644,31,0,1,0,0,0,0,0,0,0,0,0,0,,,
1238,ok,264,5,5,5,2.299506543,0.991331838,1.036771134,2.312724538,0.51597568,0.554398219,22,3,66,1,1,1,1,1,0,0.714925184,0.000683973,4.55E-05,1.970974576,28,22,3,66,1,1,1,1,1,0,0.535006559,0.002847059,9.41E-05,0.628389831,17,22,3,66,1,1,1,1,1,0,0.69929184,0.015058471,0.000255228,0.415254237,24,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,0.727766672,0.00665018,9.02E-05,0.228813559,9,22,1,22,1,1,1,1,1,0,0.698986416,0.240351674,0.008147514,0.788135593,8,
1459,ok,264,5,5,5,1.616598669,0.081055521,0.494989345,2.309583316,0.287819987,0.744426931,22,3,66,1,1,1,1,1,0,0.510934031,0.002103909,0.000139963,0.840042373,11,22,3,66,1,1,1,1,1,0,1.244214634,0.617171238,0.020398032,0.859745763,24,22,3,66,1,1,1,1,1,0,0.368066787,0.015590422,0.000264244,0.144067797,8,0,2,0,0,0,0,0,0,0,0,0,0,,,22,2,44,1,1,1,1,1,0,1.126545764,0.766985503,0.010399803,0.608474576,37,22,1,22,1,1,1,1,1,0,0.703287432,0.262588834,0.008901316,1.161016949,19,
